1000 105291
883 987 953728185
805 994 369189865
189 830 78139434
37 758 498716002
681 973 609727039
392 662 200528235
8 335 488934386
8 958 126998040
356 437 389009385
87 719 147000646
652 947 570427200
59 841 106481920
66 743 326397579
699 747 709679140
100 286 871153434
655 662 448328517
61 64 436320894
562 663 935948243
817 843 506140236
614 923 305169273
122 520 93665824
41 911 110068166
74 207 130683365
222 288 667931150
316 581 410731602
209 951 585580946
113 425 407446455
149 671 348019166
372 600 483609337
103 119 750952306
148 911 63824090
126 389 38200484
243 683 710699901
28 551 402610884
762 950 984370729
128 718 658284929
391 446 515837772
802 901 894824586
418 471 325614275
123 488 99828088
34 985 782195800
735 797 227902954
658 989 99967115
353 482 969203697
52 746 750176149
540 990 117396142
147 358 815229097
271 555 175240506
383 978 918598524
678 752 287553989
470 764 608515079
381 964 681993985
387 853 197422731
424 544 944314816
334 405 419881429
65 986 220084443
285 897 329846211
461 486 343900502
89 98 133281798
26 340 214281921
117 284 216332073
12 64 939943392
403 572 127282129
368 665 560305038
631 656 837142085
715 778 590333918
252 663 466553392
387 754 166741378
104 159 536085670
89 811 292771696
330 419 834895972
99 762 13475010
507 711 879484507
401 670 769685213
298 525 519009903
826 886 181273045
2 508 500985467
682 804 781935376
91 281 714180504
138 919 416070696
824 911 221463967
9 897 817227285
30 874 299838699
332 871 224229515
221 822 453967971
373 677 167909281
717 836 959726007
182 883 763398067
299 969 273652712
405 818 301074312
287 721 315672590
255 673 129734838
335 893 719663189
8 564 38310468
144 461 132184392
511 697 877185425
95 107 141770065
497 919 839903093
827 864 745611392
60 486 655124901
394 693 2942091
497 906 806233692
200 915 630206229
161 720 504159798
364 393 203863603
885 941 265813086
289 911 338096427
349 805 782634731
599 759 382266238
349 898 167790471
418 681 569027112
450 626 941999185
366 946 213578533
576 803 371474692
726 876 127193399
806 864 197278296
23 883 609848294
376 380 960914856
152 947 258909128
22 505 633191636
224 328 241249538
915 988 172682344
910 931 352738318
56 583 967888893
583 675 636108477
385 923 536555743
183 900 375184255
209 490 954241775
397 416 963113186
436 641 450146763
304 586 47665496
423 756 200091179
289 967 976425789
386 755 749125006
658 885 265008919
78 706 842332181
353 460 626325534
403 495 324786349
199 219 460951807
967 995 212717428
363 994 524626140
334 453 709572693
30 950 310507159
397 957 343781364
128 630 80466000
32 33 98544337
171 618 587576619
412 705 256217255
92 711 260374870
109 352 511006229
5 431 201702474
634 845 755293824
600 773 197805904
301 678 740809270
664 681 518945350
285 974 381812951
537 635 722150562
535 558 297676784
173 584 7551671
65 142 738549224
171 346 387572023
745 922 112647455
93 110 749340408
10 264 952392531
160 289 200674554
479 787 659797830
602 673 538742441
935 962 34824349
833 945 477043806
921 944 634018315
438 639 490765867
650 665 854628270
301 338 462095575
841 905 907900856
406 602 448870183
770 973 75222866
54 648 750924639
538 859 443117500
95 670 104636167
419 436 594169784
386 739 464666354
608 644 969340200
480 713 326028156
860 985 579624182
567 622 38254866
607 808 909674291
160 713 311923446
94 720 911902594
401 960 97595459
28 266 788489655
201 974 399170351
615 708 221780666
41 902 132725392
330 374 669458865
209 384 561348513
171 595 869912414
13 97 670033413
210 897 738527684
366 498 383653899
175 776 311462928
233 333 332343602
344 828 855931575
350 506 427844336
432 556 119573979
645 831 825431470
42 890 919709683
326 359 413639191
490 687 483716777
414 997 905223314
313 947 163594758
155 972 852649740
121 962 232889292
4 298 146177786
229 608 652572962
656 776 331725726
89 97 787210358
73 851 834790536
724 866 532571038
80 338 601605727
454 516 178620992
705 784 548258785
358 663 757168756
234 712 966559015
74 980 584469927
132 194 856384813
425 877 355316162
156 593 292351377
99 730 257273994
431 541 96614043
67 753 911084873
545 769 812504445
5 470 306169518
314 691 422352091
31 957 862703857
115 409 896055180
751 816 975992378
614 878 638025122
459 467 630038851
255 559 142532007
239 871 339099195
390 884 207468586
151 985 576565741
150 836 457874809
307 627 202763553
338 609 807778735
262 446 493149250
58 394 93162736
134 608 867931456
335 848 640273907
409 664 827854775
229 873 902617280
521 619 21900112
379 404 799413178
309 329 39441511
628 657 46969056
61 853 483992814
293 707 276122959
152 286 814168976
74 525 496835850
146 995 309348633
76 269 401067774
151 267 559681044
787 808 423957823
198 592 558635701
30 796 6397335
271 986 356978425
710 978 145991234
27 334 279232779
83 640 784147698
169 336 26320874
587 999 173570584
345 515 284795975
512 975 572616805
11 484 764508595
124 501 542623886
61 953 147947513
794 965 917219151
201 383 221737672
196 744 647476147
417 421 239106965
128 533 711629201
182 193 831968191
31 682 33515609
67 329 692375283
719 905 640111632
59 845 866733009
252 856 476627608
14 576 987328719
203 769 311396661
555 832 257925981
41 128 466159180
685 716 33816394
51 828 909278572
108 181 447341670
17 512 810059154
530 870 521579623
254 888 226875304
468 650 552826640
609 846 310036303
148 831 205171343
636 880 290682334
34 479 204780070
674 709 152042921
148 914 714985230
244 913 485319557
254 831 100163991
389 736 561294475
335 375 294866067
435 840 812620828
368 896 712965877
347 546 337344038
197 928 192635316
83 592 807668132
39 226 279720948
308 643 694690667
429 971 971204456
155 458 930287394
330 721 71881969
553 640 39706769
652 792 925319051
267 894 144329503
706 932 997607273
439 627 900525973
755 917 611792733
158 681 879287336
161 607 284046461
85 651 417461941
763 983 540270083
922 958 969142094
632 840 645208949
249 559 346781940
29 248 740178693
261 563 49666726
127 830 327123513
381 619 262768794
249 348 946727118
378 900 184976329
289 808 814591962
169 669 324862385
282 735 674394928
465 561 77399126
532 692 721639175
238 546 879061129
264 388 222071773
608 802 367297132
137 866 246841496
216 680 381902388
188 249 671333103
249 270 290911024
839 890 27002887
727 896 916405515
766 961 40562016
164 678 436262733
32 609 216124402
802 813 334199591
53 428 259517843
363 505 362347375
433 688 495333531
37 486 995577064
426 610 301480906
635 890 64575175
27 442 920584808
400 670 636249970
304 489 620316845
121 386 174453130
350 626 134027875
706 987 728642859
312 907 127871433
238 415 981567346
418 423 755642042
141 246 706750527
331 858 79819278
614 941 131205179
184 612 59150656
373 888 420957468
203 557 522043985
3 347 522918439
452 487 250796011
720 756 313374966
795 798 332185032
715 987 105065083
271 895 129993556
64 407 197308996
81 154 686346385
49 439 643722240
278 919 774818106
622 849 373312833
466 600 689018411
840 971 70005123
181 597 568787711
357 951 640681580
366 806 998022138
597 648 887130709
113 131 778650665
356 899 627835656
655 979 435342279
443 848 228719819
187 249 378173154
399 873 661384605
499 533 967489598
727 733 959844543
225 293 936428153
460 578 746712693
82 231 133246319
185 692 774172685
81 681 335725023
310 948 819962912
602 944 164080462
623 794 7770903
544 651 988856363
213 548 15228400
117 884 226508851
112 627 949285186
264 816 116311319
39 714 595692670
534 910 673553755
384 935 629971831
300 711 111880576
341 633 665824803
72 935 924607845
22 487 40223394
298 501 328226281
632 647 590868352
492 897 901211349
734 824 250893367
379 730 675131129
206 485 261686263
129 469 908059284
662 738 426862760
235 431 732731896
644 728 104826927
467 841 744704622
619 704 349391344
270 505 534539094
477 495 243110547
539 630 314360210
259 682 343693835
275 505 20224293
267 276 517144020
353 406 611089174
239 674 294973307
738 943 762506138
99 399 977706339
603 770 19804785
121 709 404221381
144 959 751575952
248 829 723266552
104 138 496262143
274 782 345856498
249 976 68475140
376 733 659357198
120 426 693639041
756 936 959716623
225 656 184671130
376 912 554578020
43 827 462140058
406 656 385066669
531 540 94696215
46 877 811576445
148 927 144166227
259 488 792210785
472 728 534433252
325 452 711822113
115 794 835153047
254 571 965478725
155 483 879198610
342 741 935744218
682 724 746043064
401 980 953154677
455 471 607520080
140 476 227346552
715 756 313795560
472 874 220442003
2 64 481856119
36 110 54713229
446 465 411407553
611 676 125621828
333 337 398530303
368 996 831099122
33 842 527842494
624 954 247310769
494 738 182160903
785 876 601896256
324 604 398772927
55 735 264240391
277 449 810055761
690 950 914995032
555 933 403283337
111 545 8379383
13 196 699847875
166 795 961611484
135 444 585896516
485 497 599044919
416 750 557372135
831 869 772467379
135 850 662575355
325 555 892786942
67 921 751468395
336 348 262935433
256 882 503921439
337 345 839124364
745 903 649679522
54 62 885528652
95 882 479518213
856 936 885712800
62 863 74987266
497 739 891352240
53 59 479363939
180 701 870127360
193 492 827753892
465 617 130550700
380 699 791307735
777 784 474252021
548 943 998393031
2 847 742833147
173 978 147486560
292 463 586568908
80 463 778680910
465 522 349647005
150 377 519661027
143 395 88942678
217 224 627424317
219 743 822946643
188 421 841255335
4 652 199694952
754 884 574697791
585 976 240205094
54 191 761872857
230 588 146800988
596 692 566340387
526 709 995093728
555 952 766863625
127 927 559420303
827 921 242405723
386 758 401793425
91 151 8763307
195 898 760832993
536 969 675247995
889 922 338525452
434 777 482690200
419 771 286350904
70 122 456517568
548 941 560423527
495 771 870986122
49 215 889655805
585 798 772506503
120 427 870260863
494 759 474563491
238 979 576880285
346 620 346362833
431 683 529219185
215 422 981061607
253 642 377542665
406 759 472680389
259 264 25553442
14 288 869363133
510 757 6785334
86 428 608765742
28 530 9826489
552 917 565891954
388 512 882076830
204 731 302657273
549 835 976736543
85 127 376304310
189 660 320715454
98 577 755231161
708 792 221757574
547 823 99194140
293 424 93652118
113 575 278869027
303 792 489101023
364 883 314435230
301 992 751146028
228 912 33854866
466 619 936444770
189 641 967293464
157 672 98161929
59 369 158143108
575 666 697021706
23 42 637949384
783 845 930124474
768 820 426639130
220 461 752216854
66 941 951827925
547 761 913200464
589 805 275761564
366 886 141991818
222 295 393601733
912 940 105198560
62 699 297894131
312 875 355143596
120 439 671563780
253 652 429676292
84 591 414338350
70 659 343964807
790 916 506767460
74 717 102175577
613 797 135076350
734 973 87609195
31 422 902321304
138 991 826819583
21 926 815656249
357 568 78337643
708 879 344608183
175 623 764796700
381 464 749255514
16 345 19409117
228 914 788824512
124 929 179638361
129 882 258429439
133 999 956306398
539 929 105020944
3 396 182307683
73 792 834209386
653 903 128273100
527 934 130189805
661 866 341331563
728 752 21291009
229 638 782189002
360 416 816091391
7 887 889645735
344 501 500228815
545 654 821028415
856 876 124119505
89 694 594305231
250 1000 377348096
584 819 528311639
255 453 594586197
782 999 361499552
147 183 285123689
468 659 553287296
440 850 232026205
614 798 471367773
464 830 655356157
315 757 290474479
582 810 974164003
873 917 353119561
384 550 928280921
360 729 943678745
483 879 361865922
167 339 748457518
616 771 423476793
641 859 285132602
33 412 102738618
627 1000 202152665
124 889 271685120
528 761 578574801
373 606 6805104
565 765 334952859
414 960 955074869
469 943 151891746
203 534 688076459
155 394 541949897
348 943 456529664
505 834 329966259
42 896 121915160
636 712 621839421
376 452 419546545
539 928 207870415
66 323 569740488
510 982 160062932
73 440 503056186
148 980 949509638
222 877 821729965
34 125 854384622
268 651 350242736
688 765 33513387
413 559 501144608
538 591 431908593
38 913 810139085
76 553 271150164
161 580 48129886
536 945 346903750
429 693 443770737
301 724 587797854
28 353 246127110
134 513 267287387
261 879 818289693
821 901 474424935
100 460 543291292
227 779 796237599
224 571 137916278
87 775 884110290
321 987 762714122
112 751 842460552
187 583 524196808
108 808 246432582
113 570 960490522
91 190 257847696
198 305 352081024
339 891 150856239
126 344 953902077
546 842 328731700
4 841 766540465
79 99 549758012
195 933 787657671
286 356 263463156
102 749 926349712
62 724 790997983
590 941 146488304
572 584 129203287
107 854 604544760
320 686 434817232
323 541 608564180
458 649 148611172
634 742 270230503
628 724 890738315
108 819 236664884
144 358 651421481
549 740 966316287
52 535 276423885
257 769 672394163
499 777 129485623
7 729 927126790
269 572 292059163
70 585 130709851
303 821 653362212
9 735 719377254
184 248 191491643
264 598 398124821
306 699 598513416
223 288 476093102
109 585 198366392
522 632 962111028
270 426 112144128
600 759 119632143
112 674 606102370
628 994 836299243
50 859 958152623
455 985 914999519
44 970 406896332
314 420 388982226
27 458 275375544
179 953 749268762
251 835 101881037
825 846 715504229
570 601 998257989
425 479 968983516
366 413 285372159
57 453 740542853
20 819 335658627
70 76 94764776
635 791 148930883
248 720 576110837
381 620 56713763
218 482 886178852
213 356 784510523
392 445 318295262
131 652 949741019
619 699 516381211
782 886 523263951
19 106 909038667
287 613 574286051
123 223 117636729
359 614 486374825
10 421 850598830
390 542 555063929
734 960 83901075
679 939 13236152
269 922 687003481
515 783 384317021
690 816 384332253
160 252 952443057
863 959 471046150
27 473 629881685
90 395 145361009
608 681 162945673
394 640 513026896
245 834 844137899
652 813 46422415
344 350 947764476
469 1000 883971127
269 439 555002794
303 802 195769367
96 627 854429706
732 918 654669728
532 543 430852644
20 459 285799185
327 717 684568692
234 265 82707155
719 998 348082415
592 660 79758373
210 384 466074179
66 912 119746043
731 902 101795171
145 898 334934051
451 531 349545794
852 865 618943658
142 171 622117598
146 311 610670461
30 308 80965503
525 559 384880210
436 453 85994816
431 639 956658888
194 604 120538574
282 919 979831500
762 789 211062127
308 925 621682495
19 985 310261318
213 567 328553685
421 775 972786644
266 435 128594240
939 946 347818178
212 293 334520460
92 891 674476765
550 943 918588108
400 659 6745441
186 715 986029046
737 787 1629049
250 854 353777675
179 217 210857222
241 779 455938427
681 805 981569439
869 979 588258758
318 578 725598680
40 409 107445350
375 421 407214791
220 355 687389675
200 545 476950979
221 533 38825320
296 306 228309103
189 608 896182285
599 830 542919926
256 447 818910485
278 708 356049047
339 412 684221922
67 345 927785059
165 809 726919269
386 790 648535621
12 540 364173251
440 489 191726147
295 567 637244725
568 756 237583362
70 284 891255087
872 935 276470415
146 585 542131908
150 351 147200092
130 490 55290184
465 832 142266760
219 711 659733046
93 364 322153570
40 317 496156500
71 613 294787119
292 470 479345940
197 448 799890475
78 326 677523261
179 927 704491725
760 972 709841866
358 952 646988623
262 497 734357522
431 677 147001709
424 739 248613928
173 466 779366764
191 428 643866756
275 733 698436701
477 706 259019746
29 294 250455714
207 883 106331498
306 823 494850225
590 834 579197200
564 723 412963864
145 889 430092349
94 160 743870144
634 740 660010159
456 487 287351925
668 974 958911388
14 922 902127781
58 65 275712797
787 958 538744423
512 852 556125642
41 386 642044095
363 852 705221793
250 601 617850656
619 984 591340843
126 452 166741553
70 807 822272993
40 902 668708563
13 187 928850635
487 588 775251299
261 485 509876841
80 731 167929660
194 469 968961239
276 420 688677503
164 410 779112235
432 524 302293013
597 965 599603489
684 967 696656885
427 983 99246330
313 466 915366818
235 673 815983008
461 746 251959543
518 780 994769677
82 604 277518630
382 797 413507310
161 943 261503997
58 412 701818243
180 713 720534379
347 416 986123976
368 798 962668867
336 399 964181465
265 489 51045183
134 352 718739090
176 819 677369670
54 796 692034933
203 853 785549809
117 474 987117008
849 978 994981195
534 588 167462943
471 513 628798936
323 991 442049198
452 848 727547864
414 875 386290306
85 426 447013580
188 662 725420153
10 560 329606457
689 714 538627760
39 505 454522539
102 480 84857380
433 856 283407356
774 862 935041179
165 171 837620182
686 692 881869508
287 732 370065781
105 770 663421597
626 652 968255921
412 510 493116436
431 962 494481467
860 896 760250865
657 830 982673702
165 314 935869682
172 959 529924777
831 996 667229495
158 329 2011427
565 661 98985440
208 457 313251166
461 745 972670708
110 450 452828951
363 745 933962116
98 914 875869117
420 628 999006735
51 107 972304761
581 993 783977256
351 393 615961710
57 238 210914390
328 973 76092993
271 764 593731387
34 717 493374939
123 186 171340023
232 302 916300653
549 676 115849166
102 334 70233780
33 253 492330759
149 510 278750078
627 765 823558423
401 800 7011436
281 449 156120063
135 413 516510200
590 760 133002225
165 251 898723769
274 494 208486969
315 695 491967461
909 962 29796954
131 498 428865304
969 971 871620983
92 226 903220819
122 547 910757877
306 483 853513030
145 199 417469789
363 661 457967313
197 670 323246214
171 878 262161864
257 980 323394034
96 334 255728118
363 728 255883384
370 971 116314468
179 512 105775139
363 910 263005659
58 373 717479258
155 929 153189542
210 824 34841152
79 436 749035675
399 703 66852445
81 650 591312988
827 924 612932221
251 783 893385946
181 264 125388504
111 813 891453978
112 875 67428211
293 377 432925755
756 802 281703109
204 729 512442551
633 679 234533020
26 103 761808873
480 804 652673345
491 634 676367054
379 967 53395674
425 608 56133903
289 690 730708239
161 350 48824126
131 772 607766256
528 881 843011424
340 585 374839062
645 994 343717803
555 997 681631751
865 1000 280669584
413 636 963070175
134 690 724726011
194 372 181056043
389 655 400198104
188 414 458295576
431 433 678451161
953 973 231903436
10 151 801853046
243 448 509459987
152 558 112712501
638 772 954926398
243 795 127111723
20 576 841364039
328 402 201758401
655 918 34402105
643 796 545231547
791 850 16614606
259 444 816680822
58 122 43344729
91 500 429937008
821 964 338792422
324 941 714505229
342 998 497381791
528 754 538791832
742 841 164422512
198 408 517114247
334 436 325512174
362 898 860397826
717 887 924576628
6 655 426080166
320 723 850713231
97 953 258068613
192 619 281685659
588 640 287789937
488 696 20889773
571 876 490518650
50 546 222732467
203 912 127545780
184 744 628690138
152 174 875902781
260 642 296490287
625 918 379272573
922 926 698168712
329 859 34315695
72 165 962321317
59 898 648859808
449 961 753362321
240 296 747144119
77 197 103418446
413 857 617561141
148 748 896536240
629 641 7063740
72 114 918667913
234 875 640832789
390 789 144709638
888 902 752322605
571 960 514989912
415 942 637052512
810 915 492131478
475 564 905147897
698 724 887696865
148 839 831211001
251 465 371243464
280 737 453305623
105 786 152558062
838 960 212174600
79 603 171543530
18 27 846889472
544 598 7724654
813 959 326121079
346 963 721716906
455 622 471070000
373 542 125868530
721 927 952929142
522 693 533604253
568 910 981561256
449 487 817740080
429 514 678743032
456 571 159078076
326 342 721663343
143 599 356060548
219 498 900801331
450 870 244592866
390 428 511021580
268 760 537073002
3 891 85833764
50 159 93256271
237 561 422701838
126 237 49657093
64 510 487602185
489 772 762698536
237 535 105399940
14 651 756920476
358 780 935917797
131 435 473079284
499 834 695117701
2 544 314778391
74 823 864637439
243 657 633236000
61 725 293041322
674 720 892712070
104 309 995071075
439 672 975130748
297 345 109682319
22 507 58699418
808 834 840597855
134 949 784869309
466 719 86116438
252 446 662562090
85 886 752362760
533 817 417437945
983 989 535094307
