500 83138
385 443 320039205
91 408 609863287
89 456 785161969
45 427 530196980
46 70 130505512
74 139 939295811
312 400 748768640
114 258 823733875
51 371 362013251
102 500 11819432
409 410 558638619
68 391 112104718
46 239 75137328
75 191 800286986
77 289 207476596
270 408 249928626
9 56 280581693
215 438 613945471
128 150 480659731
13 328 275505473
52 80 824662987
316 422 349536850
484 498 114356692
59 228 680222734
219 357 171444944
46 205 522131330
89 428 488640102
34 42 813495394
213 438 36509526
134 322 637725760
52 318 5479373
205 337 177976571
363 368 729631993
234 437 531783285
158 393 997522912
16 212 922058120
197 234 985430893
375 466 845623353
38 96 984225227
160 370 376501550
178 415 440642294
56 118 828354653
81 180 270331535
108 131 244734214
13 88 859007727
247 319 925077218
270 280 353240445
162 350 733307548
138 395 184352836
308 360 261898624
54 493 866517183
60 226 858557554
119 320 800947703
131 291 46182944
204 303 753442255
267 329 188800635
264 280 217682846
47 276 301528418
13 403 244204542
56 169 241820832
84 479 553833955
104 414 198014232
36 150 209546991
16 425 776245566
138 206 987120899
153 343 199828681
227 282 460068633
93 135 6303654
417 446 524080976
258 493 198324783
56 425 594029640
276 421 715445916
184 458 642828719
9 244 269133241
70 429 509981724
62 343 477589209
130 173 100276251
158 184 307732234
39 473 444426888
183 462 298072969
83 217 606897696
85 133 331789176
127 148 644646996
158 258 416822478
158 483 468276576
397 424 371789966
92 282 695249820
266 413 464634427
59 120 576953874
47 494 27289226
11 331 450391632
132 461 422171481
116 123 402917758
448 472 167318752
91 161 542066866
216 448 964655141
240 277 264966786
347 412 982659253
252 467 51662298
365 382 120462736
219 310 96824848
188 364 327139684
392 409 512136245
82 313 294409214
167 176 382619053
239 315 440379133
272 335 976504834
153 320 166339528
413 440 193138676
79 278 543681217
144 327 446922708
424 431 574642106
157 262 688598801
18 83 772071335
240 324 452255507
196 383 31914901
59 159 951865671
266 455 94483163
214 460 241300602
157 165 932017294
6 324 259090283
78 447 814166585
73 488 972480154
65 339 130669517
26 294 358166374
101 282 703113430
147 331 854364758
280 313 699481839
14 35 87541430
48 461 558066552
350 364 400789349
136 260 606254213
110 433 117001965
259 432 905668889
83 344 669241044
355 384 363542675
87 398 393748529
53 476 256923496
185 376 544099713
218 285 759594770
82 480 396412859
328 381 877630279
132 320 189260961
149 175 961118830
99 112 293082200
336 343 414392142
149 472 631532602
248 310 397644296
109 436 719722219
126 133 31328839
261 333 347343274
207 401 568650933
455 499 747896041
383 467 50098608
204 372 94925342
21 436 505321789
121 295 620934875
345 483 118255164
212 413 187257116
343 444 957303005
117 146 721033951
81 176 931620946
165 470 23530746
237 244 908172229
382 489 993038632
123 149 827399820
108 372 890223460
306 459 905688475
184 202 440808058
42 163 424767546
310 364 397276122
184 499 869556215
54 272 803111599
231 275 941962205
53 276 278205487
117 285 520578789
263 316 796779316
105 388 61394348
124 270 91486475
200 267 624386406
99 412 446224268
6 460 452669970
132 385 455539818
149 381 31687662
74 190 59248588
222 461 314753581
152 414 21397020
264 431 634437863
192 426 668730653
203 374 9113681
129 167 351132227
384 459 693287213
97 495 214163006
6 199 968431747
345 413 62014935
150 450 994152593
333 403 179294208
347 483 83238143
99 387 787337509
272 424 177759319
76 414 43967944
233 276 744838835
102 265 332813900
14 47 977173431
51 173 845104144
206 439 793735105
168 175 974552511
31 377 596943967
421 461 56583397
151 275 241275393
13 71 190866630
37 98 595731695
34 234 328561258
44 302 78521724
8 391 74479612
389 393 140498299
53 353 146001237
154 194 295062258
387 433 829803986
9 351 780171789
287 411 282778989
18 42 964598357
35 288 788948235
97 248 833242401
78 271 222249490
346 475 316278092
1 334 732421438
107 439 83875880
61 277 403763893
18 392 691760049
254 267 575694168
11 225 586249221
421 430 371520347
147 164 490556435
216 322 866170903
130 166 602831251
475 484 949027102
226 263 506351669
52 97 718231695
16 495 518222876
56 154 80413356
112 285 780970893
416 441 799449769
218 497 919587299
257 486 571880646
62 498 278937030
299 370 531531167
217 345 764099228
168 233 281797314
18 464 313279294
6 46 508039810
78 150 493609967
184 225 27830538
85 211 679225225
179 355 601643700
207 454 853473272
10 234 28346779
317 473 947913196
32 433 189075054
205 497 815136714
85 158 243469447
480 484 433026019
312 332 723318587
54 497 820053991
134 291 838073459
246 404 782383515
129 321 938369659
240 440 475798729
147 180 743585050
29 244 92966008
158 432 14651874
180 457 846621533
312 459 818900936
62 484 515524497
214 276 375007734
105 205 53122947
51 111 964544479
186 378 223157807
182 453 932176532
233 284 754655887
261 345 122184533
216 495 958092370
236 334 839098219
225 243 92609995
64 416 859117364
444 463 27020076
18 316 486450815
359 367 27126515
84 413 87409178
5 82 299328419
41 488 406615720
285 434 757013687
303 433 632066231
54 328 67775187
112 342 325821968
120 384 254158140
253 293 807567953
43 377 814143114
93 94 895875769
177 217 305394844
93 262 157159234
6 204 408183243
12 288 769388789
67 220 942584673
29 219 641022329
377 400 862777676
105 409 756739564
201 474 824225550
290 449 228595957
99 344 137220087
125 282 743037977
150 364 427857046
68 275 386409038
25 43 747363692
4 398 396148685
326 437 531629283
53 397 556971308
293 366 215255678
53 450 812013995
336 451 283952464
242 316 741910733
62 384 751186354
153 418 614445354
296 388 295447087
